"Unidade Federação";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"Acre";"28,01";"19,60";"19,57";"6,50";"23,99";"16,47";"14,51";"22,44"
"Alagoas";"18,05";"20,00";"25,45";"13,01";"17,41";"25,29";"15,81";"20,89"
"Amapá";"30,91";"18,78";"27,30";"24,59";"27,09";"45,60";"41,38";"28,54"
"Amazonas";"16,40";"15,49";"18,31";"22,53";"26,38";"23,89";"24,19";"18,39"
"Bahia";"15,93";"12,39";"14,62";"21,50";"25,60";"23,75";"20,39";"16,88"
"Ceará";"14,54";"14,94";"21,89";"17,75";"22,89";"18,48";"18,96";"18,09"
"Distrito Federal";"11,83";"17,00";"17,05";"14,81";"20,28";"23,43";"18,73";"17,99"
"Espírito Santo";"17,41";"11,79";"13,61";"14,96";"18,99";"22,15";"20,67";"15,32"
"Goiás";"10,89";"10,04";"17,14";"16,26";"21,21";"18,92";"16,34";"13,71"
"Maranhão";"17,08";"20,44";"21,11";"20,46";"21,84";"21,21";"11,52";"19,74"
"Mato Grosso";"14,13";"8,88";"13,51";"13,52";"18,72";"22,15";"11,65";"13,22"
"Mato Grosso do Sul";"15,77";"10,46";"18,11";"15,18";"11,33";"27,26";"20,66";"15,03"
"Minas Gerais";"18,20";"7,83";"12,42";"22,23";"25,72";"20,46";"25,11";"14,96"
"Pará";"27,11";"19,96";"22,24";"23,43";"21,89";"25,32";"21,35";"23,13"
"Paraíba";"14,39";"15,86";"20,57";"15,18";"12,44";"19,95";"11,37";"16,28"
"Paraná";"12,68";"10,63";"10,57";"27,52";"16,56";"20,15";"20,35";"14,25"
"Pernambuco";"20,71";"12,64";"13,49";"10,87";"18,02";"20,89";"13,83";"15,86"
"Piauí";"19,34";"8,99";"13,79";"14,17";"15,06";"24,50";"16,91";"14,42"
"Rio de Janeiro";"16,37";"2,98";"8,98";"0,85";"0";"27,89";"19,65";"8,67"
"Rio Grande do Norte";"20,26";"20,04";"24,07";"14,56";"18,44";"23,75";"11,52";"21,19"
"Rio Grande do Sul";"16,78";"10,88";"10,95";"9,50";"15,04";"24,83";"18,92";"13,12"
"Rondônia";"21,00";"15,44";"11,12";"24,07";"17,70";"26,61";"16,24";"15,92"
"Roraima";"14,75";"14,22";"8,58";"18,15";"16,37";"27,72";"35,94";"14,02"
"Santa Catarina";"12,92";"8,48";"15,53";"14,61";"15,86";"23,80";"17,33";"13,75"
"São Paulo";"15,02";"16,15";"18,10";"17,42";"24,58";"15,68";"11,91";"17,24"
"Sergipe";"19,38";"19,92";"26,15";"14,54";"16,46";"24,31";"15,37";"21,87"
"Tocantins";"18,89";"11,33";"12,97";"13,28";"14,68";"24,06";"18,32";"14,75"
"Total";"15,83";"14,00";"16,42";"15,34";"21,60";"18,49";"14,15";"16,05"
